2023-11-03T20:33:35.502Z | WARN  |                       worker-3 |          o.c.i.SequencerServer | isServerReadyToHandleMsg: sequencer epoch:-1 != serverEpoch:0, version { corfu_source_code_version: 101374867581944 } request_id: 3 priority: HIGH cluster_id { lsb: -6967594695020567214 msb: 8076505419305930323 } client_id { lsb: -6987611035487940898 msb: 6495278135216128240 } ignore_epoch: true
2023-11-03T21:03:46.377Z | INFO  |                    sequencer-0 |     o.c.i.SequencerServerCache | Invalidated entries 144 addresses 85
2023-11-03T21:03:50.701Z | DEBUG |                    sequencer-0 |          o.c.i.SequencerServer | ABORT[TXINFO[eead](ts=Token(epoch=4, sequence=25592))] conflict-key[[74, 23, 46, 7, 58, 16, -16, 92]](ts=25593)
2023-11-03T21:08:50.654Z | DEBUG |                    sequencer-0 |          o.c.i.SequencerServer | ABORT[TXINFO[cc08](ts=Token(epoch=4, sequence=34095))] conflict-key[[74, 23, 46, 7, 58, 16, -16, 92]](ts=34096)
2023-11-03T21:12:37.277Z | DEBUG |                    sequencer-0 |          o.c.i.SequencerServer | ABORT[TXINFO[5f8c](ts=Token(epoch=4, sequence=38014))] conflict-key[[-91, 103, -19, -28, 31, 93, -86, 55]](ts=38016)
2023-11-03T21:12:37.279Z | DEBUG |                    sequencer-0 |          o.c.i.SequencerServer | ABORT[TXINFO[a55d](ts=Token(epoch=4, sequence=38014))] conflict-key[[-91, 103, -19, -28, 31, 93, -86, 55]](ts=38016)
2023-11-03T21:12:37.296Z | DEBUG |                    sequencer-0 |          o.c.i.SequencerServer | ABORT[TXINFO[e9fb](ts=Token(epoch=4, sequence=38014))] conflict-key[[-35, 89, -41, -24, -69, 3, 106, -45]](ts=38019)
2023-11-03T21:12:37.296Z | DEBUG |                    sequencer-0 |          o.c.i.SequencerServer | ABORT[TXINFO[bacb](ts=Token(epoch=4, sequence=38014))] conflict-key[[96, 107, -55, 103, 63, 59, 106, -9]](ts=38015)
2023-11-03T21:12:37.297Z | DEBUG |                    sequencer-0 |          o.c.i.SequencerServer | ABORT[TXINFO[a385](ts=Token(epoch=4, sequence=38014))] conflict-key[[-35, 89, -41, -24, -69, 3, 106, -45]](ts=38019)
2023-11-03T21:12:37.297Z | DEBUG |                    sequencer-0 |          o.c.i.SequencerServer | ABORT[TXINFO[ad79](ts=Token(epoch=4, sequence=38014))] conflict-key[[96, 107, -55, 103, 63, 59, 106, -9]](ts=38021)
2023-11-03T21:12:38.333Z | DEBUG |                    sequencer-0 |          o.c.i.SequencerServer | ABORT[TXINFO[fe33](ts=Token(epoch=4, sequence=38045))] conflict-key[[96, 107, -55, 103, 63, 59, 106, -9]](ts=38046)
2023-11-03T21:12:38.333Z | DEBUG |                    sequencer-0 |          o.c.i.SequencerServer | ABORT[TXINFO[b244](ts=Token(epoch=4, sequence=38045))] conflict-key[[-35, 89, -41, -24, -69, 3, 106, -45]](ts=38047)
2023-11-03T21:13:50.628Z | DEBUG |                    sequencer-0 |          o.c.i.SequencerServer | ABORT[TXINFO[308d](ts=Token(epoch=4, sequence=39368))] conflict-key[[74, 23, 46, 7, 58, 16, -16, 92]](ts=39369)
2023-11-03T21:17:37.364Z | DEBUG |                    sequencer-0 |          o.c.i.SequencerServer | ABORT[TXINFO[fbdd](ts=Token(epoch=4, sequence=43562))] conflict-key[[-35, 89, -41, -24, -69, 3, 106, -45]](ts=43565)
2023-11-03T21:17:37.381Z | DEBUG |                    sequencer-0 |          o.c.i.SequencerServer | ABORT[TXINFO[e7d3](ts=Token(epoch=4, sequence=43562))] conflict-key[[96, 107, -55, 103, 63, 59, 106, -9]](ts=43563)
2023-11-03T21:17:37.382Z | DEBUG |                    sequencer-0 |          o.c.i.SequencerServer | ABORT[TXINFO[b4ae](ts=Token(epoch=4, sequence=43562))] conflict-key[[-91, 103, -19, -28, 31, 93, -86, 55]](ts=43564)
2023-11-03T21:18:40.894Z | INFO  |                    sequencer-0 |          o.c.i.SequencerServer | trimCache: Starting cache eviction
2023-11-03T21:18:40.894Z | DEBUG |                    sequencer-0 |     o.c.i.SequencerServerCache | Invalidate sequencer cache. Trim mark: 10757
2023-11-03T21:18:40.943Z | INFO  |                    sequencer-0 |     o.c.i.SequencerServerCache | Invalidated entries 32749 addresses 10596
2023-11-03T21:18:45.836Z | INFO  |                    sequencer-0 |          o.c.i.SequencerServer | trimCache: Starting cache eviction
2023-11-03T21:18:50.734Z | DEBUG |                    sequencer-0 |          o.c.i.SequencerServer | ABORT[TXINFO[43bd](ts=Token(epoch=4, sequence=45185))] conflict-key[[74, 23, 46, 7, 58, 16, -16, 92]](ts=45186)
2023-11-03T21:18:53.116Z | INFO  |                    sequencer-0 |          o.c.i.SequencerServer | trimCache: Starting cache eviction
2023-11-03T21:22:37.555Z | DEBUG |                    sequencer-0 |          o.c.i.SequencerServer | ABORT[TXINFO[95a9](ts=Token(epoch=4, sequence=52417))] conflict-key[[96, 107, -55, 103, 63, 59, 106, -9]](ts=52419)
2023-11-03T21:22:37.555Z | DEBUG |                    sequencer-0 |          o.c.i.SequencerServer | ABORT[TXINFO[3b3d](ts=Token(epoch=4, sequence=52417))] conflict-key[[-35, 89, -41, -24, -69, 3, 106, -45]](ts=52420)
2023-11-03T21:22:37.695Z | DEBUG |                    sequencer-0 |          o.c.i.SequencerServer | ABORT[TXINFO[f89](ts=Token(epoch=4, sequence=52416))] conflict-key[[-35, 89, -41, -24, -69, 3, 106, -45]](ts=52420)
2023-11-03T21:22:37.698Z | DEBUG |                    sequencer-0 |          o.c.i.SequencerServer | ABORT[TXINFO[933c](ts=Token(epoch=4, sequence=52416))] conflict-key[[96, 107, -55, 103, 63, 59, 106, -9]](ts=52419)
2023-11-03T21:22:37.699Z | DEBUG |                    sequencer-0 |          o.c.i.SequencerServer | ABORT[TXINFO[ecc6](ts=Token(epoch=4, sequence=52416))] conflict-key[[-91, 103, -19, -28, 31, 93, -86, 55]](ts=52422)
2023-11-03T21:22:38.728Z | DEBUG |                    sequencer-0 |          o.c.i.SequencerServer | ABORT[TXINFO[172f](ts=Token(epoch=4, sequence=52448))] conflict-key[[96, 107, -55, 103, 63, 59, 106, -9]](ts=52451)
2023-11-03T21:22:38.729Z | DEBUG |                    sequencer-0 |          o.c.i.SequencerServer | ABORT[TXINFO[542e](ts=Token(epoch=4, sequence=52448))] conflict-key[[-35, 89, -41, -24, -69, 3, 106, -45]](ts=52450)
2023-11-03T21:23:50.664Z | DEBUG |                    sequencer-0 |          o.c.i.SequencerServer | ABORT[TXINFO[1a81](ts=Token(epoch=4, sequence=53754))] conflict-key[[74, 23, 46, 7, 58, 16, -16, 92]](ts=53755)
2023-11-03T21:27:37.800Z | DEBUG |                    sequencer-0 |          o.c.i.SequencerServer | ABORT[TXINFO[3edc](ts=Token(epoch=4, sequence=59025))] conflict-key[[96, 107, -55, 103, 63, 59, 106, -9]](ts=59027)
2023-11-03T21:27:37.802Z | DEBUG |                    sequencer-0 |          o.c.i.SequencerServer | ABORT[TXINFO[6151](ts=Token(epoch=4, sequence=59025))] conflict-key[[-91, 103, -19, -28, 31, 93, -86, 55]](ts=59026)
2023-11-03T21:27:37.809Z | DEBUG |                    sequencer-0 |          o.c.i.SequencerServer | ABORT[TXINFO[94a1](ts=Token(epoch=4, sequence=59025))] conflict-key[[-35, 89, -41, -24, -69, 3, 106, -45]](ts=59031)
2023-11-03T21:27:37.836Z | DEBUG |                    sequencer-0 |          o.c.i.SequencerServer | ABORT[TXINFO[5e59](ts=Token(epoch=4, sequence=59025))] conflict-key[[96, 107, -55, 103, 63, 59, 106, -9]](ts=59036)
2023-11-03T21:27:37.844Z | DEBUG |                    sequencer-0 |          o.c.i.SequencerServer | ABORT[TXINFO[307f](ts=Token(epoch=4, sequence=59025))] conflict-key[[-35, 89, -41, -24, -69, 3, 106, -45]](ts=59031)
2023-11-03T21:27:37.844Z | DEBUG |                    sequencer-0 |          o.c.i.SequencerServer | ABORT[TXINFO[6948](ts=Token(epoch=4, sequence=59025))] conflict-key[[-91, 103, -19, -28, 31, 93, -86, 55]](ts=59037)
2023-11-03T21:27:38.920Z | DEBUG |                    sequencer-0 |          o.c.i.SequencerServer | ABORT[TXINFO[ec1a](ts=Token(epoch=4, sequence=59135))] conflict-key[[96, 107, -55, 103, 63, 59, 106, -9]](ts=59141)
2023-11-03T21:32:37.791Z | DEBUG |                    sequencer-0 |          o.c.i.SequencerServer | ABORT[TXINFO[6112](ts=Token(epoch=4, sequence=66231))] conflict-key[[96, 107, -55, 103, 63, 59, 106, -9]](ts=66232)
2023-11-03T21:32:38.826Z | DEBUG |                    sequencer-0 |          o.c.i.SequencerServer | ABORT[TXINFO[e430](ts=Token(epoch=4, sequence=66256))] conflict-key[[96, 107, -55, 103, 63, 59, 106, -9]](ts=66257)
2023-11-03T21:33:42.313Z | INFO  |                    sequencer-0 |          o.c.i.SequencerServer | trimCache: Starting cache eviction
2023-11-03T21:33:42.313Z | DEBUG |                    sequencer-0 |     o.c.i.SequencerServerCache | Invalidate sequencer cache. Trim mark: 25177
2023-11-03T21:33:42.325Z | INFO  |                    sequencer-0 |     o.c.i.SequencerServerCache | Invalidated entries 22861 addresses 11103
2023-11-03T21:33:45.944Z | INFO  |                    sequencer-0 |          o.c.i.SequencerServer | trimCache: Starting cache eviction
2023-11-03T21:33:53.225Z | INFO  |                    sequencer-0 |          o.c.i.SequencerServer | trimCache: Starting cache eviction
2023-11-03T21:37:37.928Z | DEBUG |                    sequencer-0 |          o.c.i.SequencerServer | ABORT[TXINFO[dbd3](ts=Token(epoch=4, sequence=75166))] conflict-key[[-35, 89, -41, -24, -69, 3, 106, -45]](ts=75168)
2023-11-03T21:37:37.929Z | DEBUG |                    sequencer-0 |          o.c.i.SequencerServer | ABORT[TXINFO[d833](ts=Token(epoch=4, sequence=75166))] conflict-key[[-35, 89, -41, -24, -69, 3, 106, -45]](ts=75168)
2023-11-03T21:37:38.986Z | DEBUG |                    sequencer-0 |          o.c.i.SequencerServer | ABORT[TXINFO[59f9](ts=Token(epoch=4, sequence=75192))] conflict-key[[-91, 103, -19, -28, 31, 93, -86, 55]](ts=75193)
2023-11-03T21:37:38.989Z | DEBUG |                    sequencer-0 |          o.c.i.SequencerServer | ABORT[TXINFO[edd2](ts=Token(epoch=4, sequence=75193))] conflict-key[[-35, 89, -41, -24, -69, 3, 106, -45]](ts=75195)
2023-11-03T21:37:38.989Z | DEBUG |                    sequencer-0 |          o.c.i.SequencerServer | ABORT[TXINFO[efd7](ts=Token(epoch=4, sequence=75192))] conflict-key[[96, 107, -55, 103, 63, 59, 106, -9]](ts=75197)
2023-11-03T21:42:39.488Z | DEBUG |                    sequencer-0 |          o.c.i.SequencerServer | ABORT[TXINFO[98d2](ts=Token(epoch=4, sequence=80325))] conflict-key[[96, 107, -55, 103, 63, 59, 106, -9]](ts=80328)
2023-11-03T21:42:39.490Z | DEBUG |                    sequencer-0 |          o.c.i.SequencerServer | ABORT[TXINFO[8ed1](ts=Token(epoch=4, sequence=80325))] conflict-key[[-35, 89, -41, -24, -69, 3, 106, -45]](ts=80327)
2023-11-03T21:42:39.491Z | DEBUG |                    sequencer-0 |          o.c.i.SequencerServer | ABORT[TXINFO[86f4](ts=Token(epoch=4, sequence=80325))] conflict-key[[-91, 103, -19, -28, 31, 93, -86, 55]](ts=80326)
2023-11-03T21:42:39.496Z | DEBUG |                    sequencer-0 |          o.c.i.SequencerServer | ABORT[TXINFO[7fa5](ts=Token(epoch=4, sequence=80324))] conflict-key[[96, 107, -55, 103, 63, 59, 106, -9]](ts=80328)
2023-11-03T21:42:39.498Z | DEBUG |                    sequencer-0 |          o.c.i.SequencerServer | ABORT[TXINFO[5007](ts=Token(epoch=4, sequence=80324))] conflict-key[[-35, 89, -41, -24, -69, 3, 106, -45]](ts=80327)
2023-11-03T21:42:39.499Z | DEBUG |                    sequencer-0 |          o.c.i.SequencerServer | ABORT[TXINFO[d4a0](ts=Token(epoch=4, sequence=80324))] conflict-key[[-91, 103, -19, -28, 31, 93, -86, 55]](ts=80326)
2023-11-03T21:47:39.505Z | DEBUG |                    sequencer-0 |          o.c.i.SequencerServer | ABORT[TXINFO[cd9e](ts=Token(epoch=4, sequence=85478))] conflict-key[[-91, 103, -19, -28, 31, 93, -86, 55]](ts=85479)
2023-11-03T21:47:39.511Z | DEBUG |                    sequencer-0 |          o.c.i.SequencerServer | ABORT[TXINFO[d1ef](ts=Token(epoch=4, sequence=85478))] conflict-key[[-35, 89, -41, -24, -69, 3, 106, -45]](ts=85481)
2023-11-03T21:47:39.515Z | DEBUG |                    sequencer-0 |          o.c.i.SequencerServer | ABORT[TXINFO[79fc](ts=Token(epoch=4, sequence=85479))] conflict-key[[96, 107, -55, 103, 63, 59, 106, -9]](ts=85480)
2023-11-03T21:47:39.515Z | DEBUG |                    sequencer-0 |          o.c.i.SequencerServer | ABORT[TXINFO[f2a4](ts=Token(epoch=4, sequence=85479))] conflict-key[[-35, 89, -41, -24, -69, 3, 106, -45]](ts=85481)
2023-11-03T21:47:39.531Z | DEBUG |                    sequencer-0 |          o.c.i.SequencerServer | ABORT[TXINFO[b366](ts=Token(epoch=4, sequence=85478))] conflict-key[[96, 107, -55, 103, 63, 59, 106, -9]](ts=85483)
2023-11-03T21:48:41.321Z | INFO  |                    sequencer-0 |          o.c.i.SequencerServer | trimCache: Starting cache eviction
2023-11-03T21:48:41.321Z | DEBUG |                    sequencer-0 |     o.c.i.SequencerServerCache | Invalidate sequencer cache. Trim mark: 44747
2023-11-03T21:48:41.336Z | INFO  |                    sequencer-0 |     o.c.i.SequencerServerCache | Invalidated entries 30970 addresses 16238
2023-11-03T21:48:47.991Z | DEBUG |                    sequencer-0 |          o.c.i.SequencerServer | ABORT[TXINFO[7352](ts=Token(epoch=4, sequence=86741))] conflict-key[[-84, -24, -67, -1, -3, -47, 81, -78]](ts=86742)
2023-11-03T21:48:48.183Z | INFO  |                    sequencer-0 |          o.c.i.SequencerServer | trimCache: Starting cache eviction
2023-11-03T21:48:53.024Z | INFO  |                    sequencer-0 |          o.c.i.SequencerServer | trimCache: Starting cache eviction
2023-11-03T21:52:40.717Z | DEBUG |                    sequencer-0 |          o.c.i.SequencerServer | ABORT[TXINFO[614](ts=Token(epoch=4, sequence=94034))] conflict-key[[96, 107, -55, 103, 63, 59, 106, -9]](ts=94035)
2023-11-03T21:57:40.746Z | DEBUG |                    sequencer-0 |          o.c.i.SequencerServer | ABORT[TXINFO[768d](ts=Token(epoch=4, sequence=99548))] conflict-key[[-91, 103, -19, -28, 31, 93, -86, 55]](ts=99549)
2023-11-03T22:02:41.942Z | DEBUG |                    sequencer-0 |          o.c.i.SequencerServer | ABORT[TXINFO[5205](ts=Token(epoch=4, sequence=105013))] conflict-key[[96, 107, -55, 103, 63, 59, 106, -9]](ts=105014)
2023-11-03T22:03:42.181Z | INFO  |                    sequencer-0 |          o.c.i.SequencerServer | trimCache: Starting cache eviction
2023-11-03T22:03:42.181Z | DEBUG |                    sequencer-0 |     o.c.i.SequencerServerCache | Invalidate sequencer cache. Trim mark: 67475
2023-11-03T22:03:42.206Z | INFO  |                    sequencer-0 |     o.c.i.SequencerServerCache | Invalidated entries 40106 addresses 19338
2023-11-03T22:03:44.414Z | DEBUG |                    sequencer-0 |          o.c.i.SequencerServer | ABORT[TXINFO[5cd](ts=Token(epoch=4, sequence=106140))] conflict-key[[-68, 124, -48, -59, 75, 73, 59, -36]](ts=106167)
2023-11-03T22:03:46.236Z | INFO  |                    sequencer-0 |          o.c.i.SequencerServer | trimCache: Starting cache eviction
2023-11-03T22:03:54.433Z | INFO  |                    sequencer-0 |          o.c.i.SequencerServer | trimCache: Starting cache eviction
2023-11-03T22:05:32.292Z | DEBUG |                    sequencer-0 |          o.c.i.SequencerServer | ABORT[TXINFO[d59d](ts=Token(epoch=4, sequence=111542))] conflict-key[[-69, -43, -121, -75, -97, -107, -2, -20]](ts=111543)
2023-11-03T22:07:30.564Z | DEBUG |                    sequencer-0 |          o.c.i.SequencerServer | ABORT[TXINFO[da7](ts=Token(epoch=4, sequence=113591))] conflict-key[[11, 22, 48, 31, -105, 82, 117, -98]](ts=113592)
2023-11-03T22:07:41.998Z | DEBUG |                    sequencer-0 |          o.c.i.SequencerServer | ABORT[TXINFO[fa7e](ts=Token(epoch=4, sequence=113849))] conflict-key[[-35, 89, -41, -24, -69, 3, 106, -45]](ts=113850)
2023-11-03T22:08:23.242Z | DEBUG |                    sequencer-0 |          o.c.i.SequencerServer | ABORT[TXINFO[b7a4](ts=Token(epoch=4, sequence=114626))] conflict-key[[-86, -22, 83, -30, 63, -107, -51, -57]](ts=114627)
2023-11-03T22:08:23.247Z | DEBUG |                    sequencer-0 |          o.c.i.SequencerServer | ABORT[TXINFO[fe39](ts=Token(epoch=4, sequence=114626))] conflict-key[[19, 64, -58, 90, 68, -107, 59, -17]](ts=114627)
2023-11-03T22:08:23.268Z | DEBUG |                    sequencer-0 |          o.c.i.SequencerServer | ABORT[TXINFO[75a3](ts=Token(epoch=4, sequence=114627))] conflict-key[[110, -12, -111, -31, 79, -126, -9, -84]](ts=114628)
2023-11-03T22:08:23.270Z | DEBUG |                    sequencer-0 |          o.c.i.SequencerServer | ABORT[TXINFO[25ca](ts=Token(epoch=4, sequence=114627))] conflict-key[[110, -12, -111, -31, 79, -126, -9, -84]](ts=114628)
2023-11-03T22:08:23.274Z | DEBUG |                    sequencer-0 |          o.c.i.SequencerServer | ABORT[TXINFO[f7b3](ts=Token(epoch=4, sequence=114627))] conflict-key[[-5, -80, -3, -27, 85, -96, 44, -61]](ts=114628)
2023-11-03T22:12:40.992Z | DEBUG |                    sequencer-0 |          o.c.i.SequencerServer | ABORT[TXINFO[511c](ts=Token(epoch=4, sequence=119764))] conflict-key[[96, 107, -55, 103, 63, 59, 106, -9]](ts=119765)
2023-11-03T22:17:41.340Z | DEBUG |                    sequencer-0 |          o.c.i.SequencerServer | ABORT[TXINFO[8a30](ts=Token(epoch=4, sequence=125402))] conflict-key[[-91, 103, -19, -28, 31, 93, -86, 55]](ts=125404)
2023-11-03T22:17:41.349Z | DEBUG |                    sequencer-0 |          o.c.i.SequencerServer | ABORT[TXINFO[cf04](ts=Token(epoch=4, sequence=125404))] conflict-key[[96, 107, -55, 103, 63, 59, 106, -9]](ts=125405)
2023-11-03T22:17:41.354Z | DEBUG |                    sequencer-0 |          o.c.i.SequencerServer | ABORT[TXINFO[1ca4](ts=Token(epoch=4, sequence=125402))] conflict-key[[96, 107, -55, 103, 63, 59, 106, -9]](ts=125405)
2023-11-03T22:17:41.358Z | DEBUG |                    sequencer-0 |          o.c.i.SequencerServer | ABORT[TXINFO[cb4b](ts=Token(epoch=4, sequence=125402))] conflict-key[[-35, 89, -41, -24, -69, 3, 106, -45]](ts=125406)
2023-11-03T22:17:42.389Z | DEBUG |                    sequencer-0 |          o.c.i.SequencerServer | ABORT[TXINFO[7395](ts=Token(epoch=4, sequence=125434))] conflict-key[[96, 107, -55, 103, 63, 59, 106, -9]](ts=125435)
2023-11-03T22:18:40.980Z | INFO  |                    sequencer-0 |          o.c.i.SequencerServer | trimCache: Starting cache eviction
2023-11-03T22:18:40.980Z | DEBUG |                    sequencer-0 |     o.c.i.SequencerServerCache | Invalidate sequencer cache. Trim mark: 86638
2023-11-03T22:18:40.997Z | INFO  |                    sequencer-0 |     o.c.i.SequencerServerCache | Invalidated entries 30000 addresses 15679
2023-11-03T22:18:42.427Z | DEBUG |                    sequencer-0 |          o.c.i.SequencerServer | ABORT[TXINFO[8b41](ts=Token(epoch=4, sequence=126466))] conflict-key[[11, 22, 48, 31, -105, 82, 117, -98]](ts=126486)
2023-11-03T22:18:46.255Z | INFO  |                    sequencer-0 |          o.c.i.SequencerServer | trimCache: Starting cache eviction
2023-11-03T22:18:53.331Z | INFO  |                    sequencer-0 |          o.c.i.SequencerServer | trimCache: Starting cache eviction
2023-11-03T22:22:41.440Z | DEBUG |                    sequencer-0 |          o.c.i.SequencerServer | ABORT[TXINFO[2f84](ts=Token(epoch=4, sequence=134200))] conflict-key[[-91, 103, -19, -28, 31, 93, -86, 55]](ts=134201)
2023-11-03T22:22:41.440Z | DEBUG |                    sequencer-0 |          o.c.i.SequencerServer | ABORT[TXINFO[903a](ts=Token(epoch=4, sequence=134200))] conflict-key[[-91, 103, -19, -28, 31, 93, -86, 55]](ts=134201)
2023-11-03T22:22:42.443Z | DEBUG |                    sequencer-0 |          o.c.i.SequencerServer | ABORT[TXINFO[94f5](ts=Token(epoch=4, sequence=134234))] conflict-key[[-35, 89, -41, -24, -69, 3, 106, -45]](ts=134235)
2023-11-03T22:22:42.444Z | DEBUG |                    sequencer-0 |          o.c.i.SequencerServer | ABORT[TXINFO[3e4f](ts=Token(epoch=4, sequence=134234))] conflict-key[[96, 107, -55, 103, 63, 59, 106, -9]](ts=134236)
